// FLAGS
0048	Beat Taurus Fire SP
0049	Beat Cygnus Wing SP
004A	Beat Harp Note SP
004B	Beat Libra Scales SP
004C	Beat Queen Ophiuca SP
004D	Beat Gemini Spark SP
004F	Beat Cancer Bubble SP
0050	Beat Wolf Woods SP
0051	Beat Crown Thunder SP
0052	Beat Pegasus Magic SP
0053	Beat Leo Kingdom SP
0054	Beat Dragon Sky SP
0061	Dragon Shadow defeated, Dragon Star Force gained, Dream Island available
0062	Beat Taurus Fire
0063	Beat Cygnus Wing
0064	Beat Harp Note
0065	Beat Libra Scales
0066	Beat Queen Ophiuca
0067	Beat Gemini Spark
0069	Beat Satellite Admin
00B0	Beat Taurus Fire EX
00B2	Beat Cygnus Wing EX
00B4	Beat Harp Note EX
00B6	Beat Libra Scales EX
00B8	Beat Queen Ophiuca EX
00BA	Beat Gemini Spark EX
00BB	Admin EX fight active
00BC	Beat Admin EX
0713	Dragon Shadow pre-battle cutscene active
081A	Leo Shadow pre-battle cutscene active
081B	Leo Shadow defeated, Leo Star Force gained
0D08	Wave World visible
0D26	Wave World visible in cutscene
0D27	Play receive e-mail script on regaining control
0D2E	Disable NPCs resetting animation after talking to them
0EF7	Andromeda card registered in library
1A8C	Beat Cancer Bubble
1A8E	Beat Cancer Bubble EX
1A97	Beat Wolf Woods
1A99	Beat Wolf Woods EX
1AA2	Beat Crown Thunder
1AA4	Beat Crown Thunder EX
E000	Base flag for Star Cards obtained
F001	Talked to Satellite change guy
F002	Checked the Star Trader
F003	Got a Star Card from the Star Trader
F004	Registering a Boktai brother
F005	Checked a Boktai wavehole
F006	Registering a Copy Brother
F007	Registered a Copy Brother
F008	Fighting a Time Trial
F009	Set a new record in time trial
F00A	Beat Time Trial - Taurus Fire
F00B	Beat Time Trial - Cygnus Wing
F00C	Beat Time Trial - Harp Note
F00D	Beat Time Trial - Libra Scales
F00E	Beat Time Trial - Queen Ophiuca
F00F	Beat Time Trial - Gemini Spark
F010	Beat Time Trial - Cancer Bubble
F011	Beat Time Trial - Wolf Woods
F012	Beat Time Trial - Crown Thunder
F013	Beat Time Trial - Pegasus Magic
F014	Beat Time Trial - Leo Kingdom
F015	Beat Time Trial - Dragon Sky
F016	Beat Time Trial - Andromeda
F017	Beat Time Trial - Placeholder
F018	Beat Time Trial - Placeholder
F019	Talked to Real World virus
F01A	Beat Real World virus - Echo Ridge (vending machine)
F01B	Beat Real World virus - Echo Ridge (school)
F01C	Beat Real World virus - Geo's Living Room
F01D	Beat Real World virus - Geo's Room
F01E	Beat Real World virus - Luna's Room
F01F	Beat Real World virus - Bud's Room
F020	Beat Real World virus - Zack's Room
F021	Beat Real World virus - Vista Point
F022	Beat Real World virus - AMAKEN Grounds (staircase)
F023	Beat Real World virus - AMAKEN Grounds (roof)
F024	Beat Real World virus - AMAKEN Foyer
F025	Beat Real World virus - Science Museum
F026	Beat Real World virus - Lab
F027	Beat Real World virus - Foyer
F028	Beat Real World virus - Class 1-A
F029	Beat Real World virus - Gym
F02A	Beat Real World virus - Studio
F02B	Beat Real World virus - Time Square
F02C	Beat Real World virus - Nacys 1F
F02D	Beat Real World virus - Nacys Roof (Mowa Mowa)
F02E	Beat Real World virus - Nacys Roof (cat ride)
F02F	Beat Real World virus - Dream Island (bus stop)
F030	Beat Real World virus - Dream Island (logs)
F031	Beat Real World virus - Dream Park
F032	Beat Real World virus - Scrapyard 1
F033	NPC is jumping
F034	Skip tutorial
F035	Force Star Card drop
F036	Dragon Sky pre-battle cutscene done
F037	Simulated touch active
F038	Skip touch screen object init (used for Wave Beam)
F039	Leo Kingdom pre-battle cutscene done
F03A	Humor Buster 1 active
F03B	Humor Buster 2 active
F03C	Humor Buster 3 active
F03D	Legend Mode active
F03E	Legend Mode turned off at some point
F03F	Got Giga Card from Hollow
F040	Beat Mettenna
F041	Beat Mettenna2
F042	Beat Mettenna3
F043	Beat CannonBase
F044	Beat MegaBase
F045	Beat GigaBase
F046	Beat Melamander
F047	Beat Melalizard
F048	Beat Melaleon
F049	Beat HotRoader
F04A	Beat HotMotor
F04B	Beat HotBiker
F04C	Beat Peekaboo
F04D	Beat Wavyboo
F04E	Beat Shakyboo
F04F	Beat ZapAce
F050	Beat ZapKing
F051	Beat ZapJoker
F052	Beat Wibbledee
F053	Beat Wibbledoo
F054	Beat Wibbledum
F055	Beat Crowcar
F056	Beat Crowket
F057	Beat Crowbus
F058	Beat MonoSword
F059	Beat MonoSwordin
F05A	Beat MonoSwordil
